,board,value
0,2Rb2kr/5p2/3n3p/7P/2B5/3q3r/8/2K5,1
1,R7/3kB2r/8/n7/4Pp2/8/K4p2/8,1
2,4R3/8/8/k7/8/p3K3/8/7R,-1
3,r2k4/1p6/Q3pr1B/2p1Kp1P/P1Pn1Pp1/6P1/4N2R/1N1R4,1
4,rn2k3/3b1p1r/1qP1p2p/1BP4P/P5P1/5P2/1p3NR1/Q2Kb3,1
5,8/p3Kr2/P1P5/3R4/7k/8/8/8,1
6,5k2/r4B2/8/8/2P5/8/8/1K2N3,-1
7,rn1qkbnr/pbppp1p1/1p5p/5p2/8/N4N2/PPPPPPPP/R1BQKB1R,1
8,5N2/2R3r1/1P2rkn1/pP6/1B1P2K1/N1P1R3/2bn4/8,1
9,r1k5/7p/2p4q/p2p2R1/P1B1bbP1/2P2PP1/KP5R/7N,-1
10,8/8/8/7R/8/1k6/3K4/8,-1
11,6k1/8/8/6P1/8/8/8/6K1,-1
12,8/R7/4b3/6P1/8/5k2/3B4/4K3,-1
13,1rn2Q2/N7/pb4P1/2pNk3/2n1P1Pp/4PP2/PP6/1RBK1BR1,1
14,B3BknQ/1b6/7P/p1p1r3/1R2q2P/6K1/P7/8,1
15,8/p1P1B1P1/7k/8/2K1PNPp/7b/1r2B3/3r4,1
16,8/5P2/8/1p1k4/1P6/1P6/8/2K5,-1
17,8/6k1/8/7p/r7/1b4p1/3nK3/8,-1
18,r1b2bk1/7r/p1p4p/PpP1Q1pP/1R1P4/8/2p3P1/2B1nK1N,1
19,rnbqkbnr/p1pppp1p/8/1p4p1/8/2N2P2/PPPPP1PP/R1BQKBNR,1
20,1nb3r1/N2k3q/3p4/p2Ppp1p/2P4P/B4pP1/P4P1R/R4K2,-1
21,1B1r3k/8/4r3/8/8/7P/K3p3/N3N3,1
22,3k3r/rpp4p/4bqpP/4p1P1/pPPp1pR1/R3P3/NB1PNP2/5K1B,1
23,b1r1n2k/3p3P/8/q4p2/2pR4/2P5/1P5P/4K2R,-1
24,8/5R2/7r/2k2bpr/p1B4P/Pp3P1R/8/6K1,1
25,bN4R1/6b1/R7/1p4kp/4Pp1p/1P6/3N1KPn/2Q5,1
26,2r5/p6k/3R1p1P/5Q2/6b1/1p1R4/5K2/1nN5,-1
27,1r2k1nr/1b2B3/1ppppb2/p1n2p2/Pq1PPPBp/2P1Q1P1/1P2N2P/RN2K1R1,-1
28,4r1k1/4Q1p1/8/p1RP1Q2/1bP2P1q/6PR/6B1/6K1,-1
29,r1q3nr/pp1k3p/4p2b/2p3p1/R1Bp1PQN/1P1PP3/1P1B4/1N2K1R1,-1
30,r1b1kb1r/pq1ppp1p/5np1/2p1n3/1pNP1N1P/P1P3P1/1P2PPB1/R1BQK2R,1
31,8/4BR2/8/k1P5/6p1/8/1Kb3Br/4N3,-1
32,8/8/P4k2/2Pp4/P2P4/8/3K4/1b4R1,1
33,rnbqkb2/1ppp2pr/p4p1n/4p2p/1P1P1B2/N4P1N/P1P1P1PP/R2QKB1R,-1
34,r2k4/pbn3pp/1ppp4/1Pb1p3/Pn4P1/2P1N3/R2KP2P/2B1RB2,1
35,2kq4/r7/p4ppr/N1p1Pn1p/p1PNb2P/P3PP2/1P2n1P1/2R1KB1R,1
36,8/2K5/7p/7P/8/b7/8/5k2,-1
37,1Rn2kr1/5p2/8/3q3p/2p2PpP/5b2/P7/6K1,1
38,k7/8/7P/p7/p3q1p1/n1Q5/7K/1b6,1
39,1K6/8/8/8/4k1n1/2r5/8/3n1r2,-1
40,8/2k4p/7P/8/8/8/1K6/8,-1
41,6Q1/8/3k4/5p2/8/6R1/8/6K1,1
42,4k3/2P4B/4p3/R5rP/p1qp1P2/1Q2N2K/8/b5NR,1
43,rn1qkb1r/2ppp2p/b4p2/Bp4p1/p3P2P/NP1P1QPR/P1P2n2/R3KBN1,-1
44,1r2q1n1/p1p2kp1/1p3p2/b3Pb1r/P1p1P3/2BBQ3/RP3PR1/1N2K1N1,1
45,5rk1/8/8/8/8/8/8/3K4,1
46,k7/2B5/6b1/2Rp4/8/5P1K/8/2bN4,-1
47,r1b2b2/ppk2pp1/n6r/2pPp2p/3P2n1/PPK1BQ1N/4PPBq/R4N1R,-1
48,8/3kB3/1p1p1PR1/1P6/8/6r1/7K/8,1
49,2k5/8/8/7p/7P/2B3r1/K7/8,-1
50,2k5/1N6/6b1/1KB5/8/8/8/8,1
51,k7/3bR3/1B6/P7/4P3/8/8/2K5,1
52,2k5/4Q3/8/2B5/8/K7/8/8,-1
53,8/8/4P3/8/1k6/3p3p/6R1/3K4,-1
54,8/8/8/8/4BP2/1k6/6K1/8,-1
55,6k1/6r1/8/8/8/8/8/K7,1
56,7n/k7/3PP3/p6p/4P2Q/2R3pR/3K1bP1/B4B2,-1
57,r3kb1r/pq1npb1p/BpQ4n/3p1pp1/1P3PP1/2N1P2P/P1PPK1R1/R1B3N1,1
58,8/k3P3/1p6/8/6r1/2p4B/7K/8,-1
59,8/3K4/7p/7P/8/8/8/1k6,1
60,5r2/1p2kp2/r2Qp2B/2p2n2/P1PPKPpP/6P1/R7/1N1R2N1,1
61,8/4k3/8/8/1R2P3/P5B1/3Q4/1K3b2,1
62,1rbqkb1r/ppp1np1p/4p3/1P2P1p1/2p3P1/P3P2B/R2P3P/1NBQK1NR,-1
63,rn1qkbnr/p1p1p1pp/Bp1pb3/5p2/1P3P2/4P2P/P1PPQ1P1/RNB1K1NR,1
64,8/2k5/p7/P7/8/5K2/8/8,-1
65,6R1/8/4P3/1k6/8/3p3p/8/3K4,-1
66,B6n/3k3p/4b1pP/1pp5/2Pp1Q2/1P1P2P1/3K1B2/7q,-1
67,rq3r2/p1n1p1k1/3bQp1p/6P1/1pP1p1P1/4R3/6R1/2B3K1,1
68,4b3/6k1/8/p4Pp1/R2PQ3/2pP4/N2r4/2K5,1
69,1n1q1k1r/1rp2p1p/1p1pp1pn/1bN5/P2P1P2/3B2PN/PBP2P1R/R2QK3,1
70,8/8/8/6k1/3K4/8/7p/8,1
71,1n3b2/5k1p/r1P4R/1p1pp1r1/1R6/2Pq1NP1/2n1PK2/7B,1
72,8/8/2bB4/8/8/3K4/1k6/8,-1
73,k7/8/7p/7P/8/1K6/8/8,-1
74,r1bqkbnr/p2p1ppp/1pn5/2p1pP2/2P3Q1/4P3/PP1P2PP/RNB1KBNR,1
75,4B3/8/1k6/5n2/8/K7/8/8,-1
76,8/7k/8/P7/K7/8/8/2r5,-1
77,8/1R2k3/1PR5/5pP1/5p2/5K1p/8/2r5,-1
78,1B2N2b/2p5/3p3k/7p/7P/1q4p1/8/2Kb4,1
79,1n1k3r/3b2p1/2Bpq3/pN1Ppp1p/7P/2P1bnPR/P3PP2/R1B2K2,-1
80,8/8/5BkP/3N4/3P4/1K6/4R3/8,-1
81,B1b1BknQ/8/7P/p1p1r3/1R2q2P/7K/P7/8,1
82,6k1/3K4/8/6N1/5B2/1p2r3/8/7N,1
83,1n1qk1nr/1rpp1p1p/1p1bp1pP/1b6/P2P4/3BP1PN/PBPN1P1R/R2QK3,1
84,8/b5p1/2Nk2P1/4p3/5R2/P2Pq2P/QK6/6r1,1
85,8/r3k3/7p/b2p3B/Pp1P1P2/4P1Rr/8/2B1K3,1
86,3k4/8/8/5r2/8/8/7K/8,1
87,8/8/4p3/8/2n2R2/1bP2P1k/3Q4/r1B1K3,-1
88,b2q1bkr/2p1n3/n2p3p/pp2p1B1/3PP2P/2NQ1PK1/PPP3P1/5NRR,1
89,4k2b/8/3n4/2K5/6P1/8/8/1R6,-1
90,8/3K4/1b5k/5p2/P4P1p/8/8/4n3,-1
91,8/8/1n1k2K1/r7/3p4/8/8/7b,-1
92,2bqkb1r/2pppp2/rp1n2pn/4P1Pp/p2P1B2/2NK1P1N/PPP3BP/R2Q1R2,-1
93,Q5Bk/8/2P2Pr1/7p/8/7p/3Kn3/8,-1
94,8/8/2k5/Q7/8/2K5/8/8,-1
95,r6r/2p1pp2/2P2k2/8/6pP/Pp6/5K2/2R1R3,-1
96,8/8/6b1/2k5/3p2K1/5P2/5B2/8,-1
97,8/8/1N6/8/PP4b1/3RB1K1/8/k7,-1
98,r1bqkb1r/ppp1pppp/n2p1n2/8/6PP/7R/PPPPPP2/RNBQKBN1,1
99,rn2kqn1/1p1b1p2/p4pr1/PP4pp/1bPp1PP1/5R2/3QPKBR/2B3N1,-1
100,3n2k1/r3bp1r/1P2p1Nn/3b4/1p1pPPNp/6P1/4B1RP/R1K5,-1
101,8/3k4/8/2K2n2/6n1/8/8/8,1
102,8/5kn1/5n2/8/8/8/Kn6/8,-1
103,2bRnk2/6p1/1p6/1P1r4/1rP1p1P1/N2pB2P/8/4K3,-1
104,8/1rpN3k/2P1K3/p7/P5pP/8/3n4/4n3,1
105,r5R1/2k5/8/1P2b1B1/8/8/3n1K2/8,1
106,7q/5k2/8/2N5/6p1/8/3p4/3K4,-1
107,2r1k1r1/q3pp1p/n3n1pB/8/Np1p2bP/PP3P1B/3NP2R/2RKQ3,1
108,8/p3B3/B1P3Pk/1b1K3p/1r2PpP1/2p2N1N/8/8,1
109,8/4n3/8/1k6/8/1n1K4/8/8,-1
110,1B6/2r5/8/1k5p/p1p3pP/P3K3/2B5/R5N1,-1
111,8/1n3p2/5P2/2k5/b5p1/8/4p3/2K5,1
112,8/1r1b1Nnk/P1P5/1N1p4/P2Pp1q1/4P2P/6R1/2BBK3,-1
113,6k1/B7/8/2p1P1r1/P4P2/4K3/R7/8,1
114,8/4q3/2K5/8/7k/p7/4b3/8,1
115,r1k4r/p1b5/1n3P1P/8/2R2P2/RpBP2P1/8/1N1K4,-1
116,2K5/2R5/8/3k4/8/8/8/8,1
117,8/B5k1/8/2p1PB2/P4P2/4K3/1R4p1/8,1
118,2Q2b1r/5n2/1q6/1P1kPn2/2R5/P2Pp1PB/4K3/1N2R2R,-1
119,8/8/4k3/4r3/8/1pp5/5QK1/8,-1
120,8/p7/P4R2/2P2p1k/8/3p1P1N/1K6/4B2r,1
121,1r5b/2pp1k2/1R2pP2/5r1p/3P3P/2qnBPp1/6b1/3K3n,1
122,8/2k5/p7/Pb6/5K2/8/8/8,-1
123,7k/4B3/7n/5p2/5P2/3p4/6K1/8,-1
124,2b1kr2/3p1pB1/r3p3/8/Pn3P1q/1K2P3/8/1N2RBN1,-1
125,3k4/6P1/7n/1R3b2/3P4/8/1K6/2R5,1
126,r1b1k1nr/q2p4/pp1bpp2/5Npp/P1Pp1N1P/4P3/1P1K1PP1/R1B1QBR1,1
127,8/1K6/5k2/b7/8/8/8/2n5,-1
128,8/5b2/2k4P/8/8/B6K/8/8,1
129,rk6/8/4B3/8/1p1p1N2/1P1P4/4K3/8,1
130,3q4/5kb1/bP1pp2n/4R3/rB2P1p1/pB6/P2K4/7R,-1
